Tag No.,Equipment / Document Title,Serial No.,Cal. Freq,First Calibration,Last Calibration,Next Calibration,Status,Owner,Location,Type of Calibration,Remark
B520,Measuring Microscope (TMS),3412831,1,14-Apr-2025,04-Nov-2025,04-Nov-2026,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,"IATF,PANASONIC,DENSO"
B419,DIGIMATIC  MICROMETER POINT (0 ~ 25mm),25178887,1,25-Mar-2020,05-Nov-2025,05-Nov-2026,Due >30d,Tika,IPI WH PROD,Internal Verification,
B343,MITUTOYO DIGIMATIC MICROMETER (0~25mm),63136109,1,06-Jun-2016,05-Nov-2025,05-Nov-2026,Due >30d,Andris,IPI PE,Internal Verification,
CAL 7,STAINLESS STEEL TEST WEIGHT (200g),2405,5,15-Dec-2016,19-Nov-2021,19-Nov-2026,Due >30d,Feti,IPI QA,External Calibration,
B128,Digital Thermometer C/W Thermocouple A138,60306493,1,10-Apr-2012,28-Nov-2025,28-Nov-2026,Due >30d,Yueflin,IPI  INJECTION PROD,External Calibration,
B496,MITUTOYO DIGIMATIC CALIPER (0-150mm),A24078143,1,11-Dec-2024,28-Nov-2025,28-Nov-2026,Due >30d,Fenny,IPI PE (Tooling),External Calibration,
B428,MITUTOYO DIGIMATIC CALIPER (0-150mm),A20033822,1,02-Feb-2021,28-Nov-2025,28-Nov-2026,Due >30d,Heru,IPI INJECTION MC Maint,External Calibration,
B426,MITUTOYO DIGIMATIC CALIPER (0-150mm),B18007053,1,18-Mar-2021,28-Nov-2025,28-Nov-2026,Due >30d,Agus S,IPI PE MCX,External Calibration,
B115,Digital Thermometer C/W Thermocouple,40211993,1,31-May-2012,28-Nov-2025,28-Nov-2026,Due >30d,Yueflin,IPI INJECTION PROD,External Calibration,
B380,Digital Thermometer C/W Thermocouple,130700182,1,12-Apr-2018,28-Nov-2025,28-Nov-2026,Due >30d,Tika,IPI WH PROD,External Calibration,
B344,MITUTOYO DIGIMATIC CALIPER (0-150mm),14126752,1,06-Jun-2016,28-Nov-2025,28-Nov-2026,Due >30d,Khudri,IPI ETS,External Calibration,
B291,Digimatic Height Gauge 0 - 300mm,1108724,1,28-May-2021,28-Nov-2025,28-Nov-2026,Due >30d,Andris,IPI WH PROD,External Calibration,
B437,IMADA Digital Peeling Tester  Model : IPTS-5N-I,459311,1,01-Sep-2021,29-Nov-2025,29-Nov-2026,Due >30d,Sarmadi,IPI  QC CONN,External Calibration,"IATF,BYD,BOSCH"
B550,Weighing  DIGITAL FUJITSU FSR-A 300 CAP 320 GRAM 'GRADUATION 0.001 G - 1 MG,BD09323186,1,29-Nov-2025,29-Nov-2025,29-Nov-2026,Due >30d,Heru,IPI INJECTION PROD,External Calibration,
B551,Weighing  DIGITAL FUJITSU FSR-A 300 CAP 320 GRAM 'GRADUATION 0.001 G - 1 MG,BD09323187,1,29-Nov-2025,29-Nov-2025,29-Nov-2026,Due >30d,Heru,IPI INJECTION PROD,External Calibration,
B203,Pin Gauge 1.500mm,NA,1,27-Sep-2012,02-Dec-2025,02-Dec-2026,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B204,Pin Gauge 1.600mm,NA,1,27-Sep-2012,02-Dec-2025,02-Dec-2026,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B100,Pin Gauge 0.38mm,NA,1,16-Jul-2012,02-Dec-2025,02-Dec-2026,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B486,Thermo hygrometer Thermopro,19876,1,10-Sep-2024,03-Dec-2025,03-Dec-2026,Due >30d,Heru,IPI INJ (PI 2),External Calibration,
B498,Thermo hygrometer Thermopro,198560,1,10-Dec-2024,03-Dec-2025,03-Dec-2026,Due >30d,Heru,IPI INJ,External Calibration,
B429,Dial Tension Gauge TACLOCK DT-150 ( 0 - 150kgf),93755,1,22-Feb-2021,03-Dec-2025,03-Dec-2026,Due >30d,Feti,IPI QA Quarantine,External Calibration,IATF
B359,Digital Thermo Hygrometer DEKKO 642N,642N,1,19-May-2017,03-Dec-2025,03-Dec-2026,Due >30d,Jamsuri,IPI STORE,External Calibration,
CAL 11,Thermo-Hygrometer DEKKO 642N,NA,1,22-Apr-2019,03-Dec-2025,03-Dec-2026,Due >30d,Feti,IPI QA,External Calibration,
B187-1,MHF PLUG 1 & 2 RETENTION JIG,NA,1,25-Jul-2013,04-Dec-2025,04-Dec-2026,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B226,45 MIRROR JIG,NA,1,30-Jul-2013,04-Dec-2025,04-Dec-2026,Due >30d,Nurjanah,IPI QC INJECTION,External Calibration,
B494,Length check jig,NA,1,03-Dec-2024,04-Dec-2025,04-Dec-2026,Due >30d,Tika,IPI WH PROD,External Calibration,
B495,Length check jig,NA,1,03-Dec-2024,04-Dec-2025,04-Dec-2026,Due >30d,Tika,IPI WH PROD,External Calibration,
B237,Fuji Temperature Recorder PHE20022-VV0EV,A5H4374T,1,09-May-2012,04-Dec-2025,04-Dec-2026,Due >30d,Heric,RE-FLOW MACHINE,External Calibration,
B493,Length check Jig,NA,1,28-Nov-2024,04-Dec-2025,04-Dec-2026,Due >30d,Agus R,IPI  MCX,External Calibration,
B360,MITUTOYO DIGIMATIC CRIMP HEIGHT  MICROMETER (0~20mm),63123454,1,19-Jun-2017,04-Dec-2025,04-Dec-2026,Due >30d,Sarmadi,IPI QC WH,Internal Verification,"IATF,CLARION"
B538,Length check jig,NA,1,04-Dec-2025,04-Dec-2025,04-Dec-2026,Due >30d,Tika,IPI WH PROD,External Calibration,
B539,Length check jig,NA,1,04-Dec-2025,04-Dec-2025,04-Dec-2026,Due >30d,Tika,IPI WH PROD,External Calibration,
B460,Dial Test Indicator 513-405-10,CLHU61,1,10-Jan-2024,17-Dec-2025,17-Dec-2026,Due >30d,Ramdan,IPI CONN ETS,External Calibration,
B500,WEIGHING SCALE RENKMHE,NA,1,07-Jan-2025,03-Jan-2026,03-Jan-2027,Due >30d,Gilang,IPI SM,External Calibration,
B358,DAI-ICHI THERMO-HYGROMETER (0~50?C / 20~99%),642N,1,19-May-2017,05-Jan-2026,05-Jan-2027,Due >30d,Sondang,IPI Packing CONNECTOR,External Calibration,
B499,AIKOH Push Pull Gauge (0-50kgf),F01999,1,20-Jan-2025,05-Jan-2026,05-Jan-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B504,Digital TORQUE METER  HIOS HP-10,209167,1,20-Jan-2025,05-Jan-2026,05-Jan-2027,Due >30d,Fenny,IPI PE MCX,External Calibration,
B174,DAI-ICHI THERMO-HYGROMETER (0~50?C / 20~99%),NA,1,27-May-2012,15-Jan-2026,15-Jan-2027,Due >30d,Dian,IPI IQC,External Calibration,
B292,DAI-ICHI THERMO-HYGROMETER (0~50?C / 20~99%),NA,1,25-Jun-2012,15-Jan-2026,15-Jan-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B382,Digital Thermo Hygrometer SANFIX TH-308A,NA,1,27-Jul-2018,15-Jan-2026,15-Jan-2027,Due >30d,Yueflin,IPI INJ (Mixed room),External Calibration,
B540,Length check jig  Shinwa,NA,1,15-Jan-2025,15-Jan-2026,15-Jan-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
CAL 1,Digimatic Mitutoyo Micrometer 293-240-30 ( 0 - 25mm),63190660,1,26-Feb-2025,19-Jan-2026,19-Jan-2027,Due >30d,Feti,IPI QA,External Calibration,
B364,MITUTOYO DIGIMATIC CALIPER (0-150mm),B17014554,1,24-Aug-2017,19-Jan-2026,19-Jan-2027,Due >30d,Khudri,IPI PLUG,External Calibration,
B433,MITUTOYO DIGIMATIC CALIPER CD 6AX (0-150mm),B20196365,1,21-Apr-2021,19-Jan-2026,19-Jan-2027,Due >30d,Izmir/Heru,IPI MOLD MAINT,External Calibration,
B345,MITUTOYO DIGIMATIC CALIPER (0-150mm),14126780,1,06-Jun-2016,19-Jan-2026,19-Jan-2027,Due >30d,Andris,IPI PE,External Calibration,
B450,MITUTOYO DIGIMATIC CALIPER (0-150mm),B22308598,1,03-Mar-2023,19-Jan-2026,19-Jan-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
B198-5,Plain Ring Gauge 25mm,2E20202,1,21-Aug-2018,19-Jan-2026,19-Jan-2027,Due >30d,Heru,IPI MC MAINT,External Calibration,
B198-6,Plain Ring Gauge 35mm,2H13202,1,21-Aug-2018,19-Jan-2026,19-Jan-2027,Due >30d,Heru,IPI MC MAINT,External Calibration,
B198-1,TESA Digimatic Holtest (25~30mm),2M022901,1,22-Aug-2012,19-Jan-2026,19-Jan-2027,Due >30d,Heru,IPI MC MAINT,External Calibration,
B198-3,TESA Digimatic Holtest (30~35mm),2M024101,1,22-Aug-2012,19-Jan-2026,19-Jan-2027,Due >30d,Heru,IPI MC MAINT,External Calibration,
B198-4,TESA Digimatic Holtest (35~40mm),2M008101,1,22-Aug-2012,19-Jan-2026,19-Jan-2027,Due >30d,Heru,IPI MC MAINT,External Calibration,
B142,DIGIMATIC SPLINE MICROMETER (0 ~ 25mm),65124765,1,18-Oct-2013,19-Jan-2026,19-Jan-2027,Due >30d,Dian,IPI IQC,Internal Verification,IATF
B501,NIKON Digimatic Indicator MFC-101A (0-50mm),E19223,1,01-Feb-2025,20-Jan-2026,20-Jan-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,"IATF,BYD,PANASONIC,MURATA"
B236,IMADA Digital Force Gauge Model : DS2-200N (0~20kg),268470,2,20-Mar-2012,20-Jan-2025,20-Jan-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,"IATF,BYD,PANASONIC ,MURATA"
B347,TESA Digimatic Holtest (20~25mm),120884,1,25-Feb-2025,22-Jan-2026,22-Jan-2027,Due >30d,Herman,IPI MC MAINT/Quarantin,External Calibration,
B406,IMADA Digital Force Gauge Model : DST-200N 1 (0~200 N),415600,1,04-Jun-2019,23-Jan-2026,23-Jan-2027,Due >30d,Sarmadi,IPI QC CONNECTOR,External Calibration,IATF
B503,Precision Thread Gauge (ISSOKU) M4x0.7 GP II -IP II,S90226-29,2,23-Jan-2025,23-Jan-2025,23-Jan-2027,Due >30d,Sarmadi,IPI QC CONNECTOR,External Calibration,
B202,45 MIRROR JIG,NA,1,11-Sep-2012,27-Jan-2026,27-Jan-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B363,VERTEX BLOCK GAGE SET (1.001~100mm),171106,1,16-Aug-2017,27-Jan-2026,27-Jan-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
B163,Attonic Dial Push Pull Gauge Model : AP-20( 0~20kgf),19160,1,25-Feb-2025,30-Jan-2026,30-Jan-2027,Due >30d,Nurjanah,IPI QC INJECTION,External Calibration,
B423,DIGIMATIC INDICATOR (50.8 x 0.001mm)543-553E,19211006,1,17-Jun-2020,31-Jan-2026,31-Jan-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
B405,SHIMADZU ELECTRONIC WEIGHING SCALE (BL-220H) (0~220g),D455009554,1,12-Jun-2019,31-Jan-2026,31-Jan-2027,Due >30d,Pak Agus,IPI WH PROD,External Calibration,
B300,SHIMADZU ELECTRONIC BALANCE (BL-220H) (220g x 0.001g),D455007871,1,02-Oct-2012,31-Jan-2026,31-Jan-2027,Due >30d,Trinil,IPI WH PROD (Clean Room),External Calibration,IATF
B301,SHIMADZU ELECTRONIC BALANCE (BL-220H) (220g x 0.001g),D455007874,1,02-Oct-2012,31-Jan-2026,31-Jan-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,
B434,"ANALYTICAL BALANCE SCALE BMB 224  BRAND: BONITA, CAPACITY 220G X 0.1MG",2217001433,1,16-Oct-2013,31-Jan-2026,31-Jan-2027,Due >30d,Khudri,IPI CONN AP-10,External Calibration,
B18,WEIGHING BALANCE (LPW-3015) (3000g x 0.2g),4049067,1,24-Sep-2013,31-Jan-2026,31-Jan-2027,Due >30d,Khudri,IPI PLUG,External Calibration,
B332,ELECTRONIC WEIGHING BALANCE INDICATOR (XK3190-A15E),8117173,1,01-Oct-2015,31-Jan-2026,31-Jan-2027,Due >30d,Yueflin,IPI INJECTION PROD,External Calibration,
B352,SHIMADZU ELECTRONIC BALANCE (BL-220H) (220g x 0.001g),D455009548,1,14-Nov-2016,31-Jan-2026,31-Jan-2027,Due >30d,Agus R,IPI WH PROD,External Calibration,
B361,Digital Thermo Hygrometer DEKKO 642N,NA,1,16-Jul-2017,06-Feb-2026,06-Feb-2027,Due >30d,Khudri,IPI RECE,External Calibration,
B507,DIAL GAUGE MITUTOYO 543-553-1?,23240834,1,20-Feb-2025,07-Feb-2026,07-Feb-2027,Due >30d,Tika,IPI MCX,External Calibration,
B431,RIKEN KESOKUKI (WATER PASS),200855,1,13-Apr-2021,18-Feb-2026,18-Feb-2027,Due >30d,Khudri,IPI CONN AP-10,External Calibration,
B432,RIKEN KESOKUKI (WATER PASS),200884,1,14-Apr-2021,18-Feb-2026,18-Feb-2027,Due >30d,Khudri,IPI CONN AP-10,External Calibration,
B188,STAINLESS STEEL TEST WEIGHT (2kg),1729,3,12-Aug-2009,18-Feb-2024,18-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B552,Temperature Indicator,NA,1,20-Feb-2026,20-Feb-2026,20-Feb-2027,Due >30d,Tika,IPI MCX,External Calibration,
B408,Digital Thermo Hygrometer DEKKO 642N,NA,1,15-Jul-2019,20-Feb-2026,20-Feb-2027,Due >30d,Sarmadi,IPI QC WH,External Calibration,
B510,Digital Weighing Scale FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD08323116,1,12-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B511,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD08323112,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B512,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD08323105,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B513,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD09323222,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B514,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD09323223,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B515,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD08323117,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B516,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD09323227,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B517,Digital Weighing Scale  FUJITSU FSR-A 300 CAP 320 GRAM GRADUATION 0.001 G - 1 MG,BD09323226,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Heru,IPI INJ,External Calibration,
B518,Digital Weighing Scale LABORATORIUM 320G X 0.001G BL-320H SHIMADZU-JAPAN,D455101101,1,22-Mar-2025,21-Feb-2026,21-Feb-2027,Due >30d,Tika,IPI MCX,External Calibration,
B505,Thermo hygrometer Thermopro,198391,1,13-Mar-2025,23-Feb-2026,23-Feb-2027,Due >30d,Khudri,IPI ETS,External Calibration,
B436,Dial Tension Gauge TACLOCK DT-150 ( 0 - 150kgf),93750,1,14-Jun-2021,23-Feb-2026,23-Feb-2027,Due >30d,Khudri/Feti,IPI CONN,External Calibration,
B366,Pin Gauge 0.420mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B370,Pin Gauge 0.520mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B371,Pin Gauge 1.995mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B375,Pin Gauge 2.015mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B373,Pin Gauge 2.005mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B367,Pin Gauge 0.505mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B368,Pin Gauge 0.510mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B369,Pin Gauge 0.515mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B372,Pin Gauge 2.000mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B374,Pin Gauge 2.010mm,NA,1,20-Sep-2017,26-Feb-2026,26-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B206,PIN GAGE 1.53mm,NA,1,17-Oct-2013,26-Feb-2026,26-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B386,Pin Gauge 1.52mm,NA,1,26-Oct-2013,26-Feb-2026,26-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B387,Pin Gauge 1.54mm,NA,1,26-Sep-2018,26-Feb-2026,26-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B390,Pin Gauge 1.56mm,NA,1,26-Sep-2018,26-Feb-2026,26-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B391,Pin Gauge 1.58mm,NA,1,26-Sep-2018,26-Feb-2026,26-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B451,MITUTOYO DIGIMATIC CALIPER (0-150mm),B22359079,1,05-Apr-2023,26-Feb-2026,26-Feb-2027,Due >30d,Khudri,IPI CONN RECE,External Calibration,
B452,MITUTOYO DIGIMATIC CALIPER (0-150mm),B22359067,1,05-Apr-2023,26-Feb-2026,26-Feb-2027,Due >30d,Khudri,IPI CONN CABLINE VS RECE,External Calibration,
B376,MITUTOYO DIGIMATIC CALIPER (0-150mm),A17076355,1,04-Oct-2017,26-Feb-2026,26-Feb-2027,Due >30d,Nurjanah,IPI QC INJECTION,External Calibration,
B8,DIGIMATIC INDICATOR (50.8 x 0.001mm),19354,1,21-Nov-2013,28-Feb-2026,28-Feb-2027,Due >30d,Lastri,IPI QC CONNECTOR,External Calibration,
B365,Mitutoyo DIGIMATIC DEPT GAGE VDS -15AX ( 0 - 150mm),10275,1,16-Aug-2017,28-Feb-2026,28-Feb-2027,Due >30d,Izmir,IPI MOLD MAINT,External Calibration,
B409,Thermo Hygrometer TANITA TT-580,NA,1,13-Aug-2019,02-Mar-2026,02-Mar-2027,Due >30d,Jamsuri,IPI STORE,External Calibration,
B454,DIGIMATIC Mitutoyo MICROMETER BLADE TYPE B (BLM-25MX/.4T),422-260-30,1,30-Mar-2023,03-Mar-2026,03-Mar-2027,Due >30d,Tika,IPI WH PROD,Internal Verification,
