Tag No.,Equipment / Document Title,Serial No.,Cal. Freq,First Calibration,Last Calibration,Next Calibration,Status,Owner,Location,Type of Calibration,Remark
B467,Pin Gauge 2.190 mm,NA,1,06-Jun-2024,22-May-2026,22-May-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B468,Pin Gauge 2.195 mm,NA,1,06-Jun-2024,22-May-2026,22-May-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B469,Pin Gauge 2.200 mm,NA,1,06-Jun-2024,22-May-2026,22-May-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B470,Pin Gauge 2.205 mm,NA,1,06-Jun-2024,22-May-2026,22-May-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B471,Pin Gauge 2.280 mm,NA,1,06-Jun-2024,22-May-2026,22-May-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B472,Pin Gauge 2.320 mm,NA,1,06-Jun-2024,22-May-2026,22-May-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,
B453,Weighing Scale CAS SW 1A 30Kg Double display,220758734,1,28-Jun-2023,23-May-2026,23-May-2027,Due >30d,Jamsuri,IPI STORE,External Calibration,
B457,Weighing Scale Nhonhia (100kg),581,1,03-Jul-2023,23-May-2026,23-May-2027,Due >30d,Jamsuri,IPI STORE,External Calibration,
B402,Moisture Analyzer,B746986762,1,15-Jan-2019,23-May-2026,23-May-2027,Due >30d,Yueflin,IPI INJECTION PROD,External Calibration,
B287,Load Cell,AABCNS2015 / AKK1169 / AG2A271B,1,23-Apr-2013,23-May-2026,23-May-2027,Due >30d,Sarmadi,IPI QC WH,External Calibration,"IATF,CLARION"
B474,Dial Test Indicator MODEL CUPQ04,51340410,1,26-Jul-2024,25-May-2026,25-May-2027,Due >30d,Tika,IPI MCX,External Calibration,
B398,MITUTOYO DIGIMATIC CALIPER (0-150mm),A15020506,1,15-Oct-2018,26-May-2026,26-May-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
B462,MITUTOYO DIGIMATIC CALIPER (0-150mm),B23216509,1,21-Jun-2024,26-May-2026,26-May-2027,Due >30d,Ramdan,IPI CONN CABLINE VS RECE/MINIFLEX,External Calibration,
B339,MITUTOYO DIGIMATIC CALIPER (0-150mm),14233339,1,15-Jan-2016,26-May-2026,26-May-2027,Due >30d,Andris,IPI PE,External Calibration,
B131,MICROMETER (25 ~ 50mm),46217969,1,06-Dec-2013,03-Jun-2026,03-Jun-2027,Due >30d,Andris,IPI PE,Internal Verification,
B473,Mitutoyo blade micrometer,42226030,1,10-Jun-2024,03-Jun-2026,03-Jun-2027,Due >30d,Sarmadi,IPI QC MCX,Internal Verification,
B312,MITUTOYO DIGIMATIC BLADE MICROMETER (0~25mm) (MODEL: 422-260),35024936,1,16-Oct-2013,04-Jun-2026,04-Jun-2027,Due >30d,Tika,IPI WH PROD,Internal Verification,
B334,MITUTOYO OUTSIDE MICROMETER (MODEL: M120-25) (0~25mm),65009283,1,11-Dec-2015,04-Jun-2026,04-Jun-2027,Due >30d,Yudi,IPI PE (Pak Yudi),Internal Verification,
B362,SMARTSCOPE Fov 250 (OGP),SF2502033,1,08-Aug-2017,06-Jun-2026,06-Jun-2027,Due >30d,Sarmadi,IPI QC WH,External Calibration,"IATF,PANASONIC"
B488,SMARTSCOPE Fov 250 (OGP),SK2506816,1,05-Nov-2024,06-Jun-2026,06-Jun-2027,Due >30d,Sarmadi,IPI QC INJECTION,External Calibration,"IATF,PANASONIC"
B377,TRUE RMS MULTIMETER  FLUKE 179 TRUE RMS,36510188,1,14-Oct-2017,25-Jun-2026,25-Jun-2027,Due >30d,Equwin,IPI WH PROD,External Calibration,
B399,Electrostatic Fieldmeter STATICO S2001,R15102,1,11-Oct-2018,25-Jun-2026,25-Jun-2027,Due >30d,Agus R,IPI WH PROD,External Calibration,
